conv_blocks,filters_start,dense_units,dropout_rate,val_accuracy,val_loss,recall,f1_score,model_path,train_time_sec
4,8,64,0.5,0.882786036,0.316609919,0.84957639,0.859730305,/content/drive/MyDrive/CU/Deep Learning Projects/vgg_top_models/vgg_cb4_f8_d64_dr50.h5,2487.54875
4,8,128,0.5,0.896398127,0.272766441,0.854569938,0.872711646,/content/drive/MyDrive/CU/Deep Learning Projects/vgg_top_models/vgg_cb4_f8_d128_dr50.h5,2052.637733
4,8,256,0.5,0.893739343,0.298825026,0.819839533,0.861429624,/content/drive/MyDrive/CU/Deep Learning Projects/vgg_top_models/vgg_cb4_f8_d256_dr50.h5,2498.975683
4,8,512,0.5,0.897875249,0.274820387,0.888627055,0.881382342,/content/drive/MyDrive/CU/Deep Learning Projects/vgg_top_models/vgg_cb4_f8_d512_dr50.h5,2094.143225
4,16,64,0.5,0.908260405,0.240398973,0.856982551,0.885603293,/content/drive/MyDrive/CU/Deep Learning Projects/vgg_top_models/vgg_cb4_f16_d64_dr50.h5,1968.057507
4,16,128,0.5,0.906260669,0.334461778,0.863490995,0.887415309,/content/drive/MyDrive/CU/Deep Learning Projects/vgg_top_models/vgg_cb4_f16_d128_dr50.h5,2220.609721
4,16,256,0.5,0.900761306,0.317195505,0.877742243,0.886873211,/content/drive/MyDrive/CU/Deep Learning Projects/vgg_top_models/vgg_cb4_f16_d256_dr50.h5,1849.412371
4,16,512,0.5,0.911350965,0.277189046,0.904842058,0.890871427,/content/drive/MyDrive/CU/Deep Learning Projects/vgg_top_models/vgg_cb4_f16_d512_dr50.h5,1851.153573
4,32,64,0.5,0.919168293,0.23468709,0.87841553,0.895498484,/content/drive/MyDrive/CU/Deep Learning Projects/vgg_top_models/vgg_cb4_f32_d64_dr50.h5,1387.475806
4,32,128,0.5,0.919463694,0.224473804,0.898838579,0.897252793,/content/drive/MyDrive/CU/Deep Learning Projects/vgg_top_models/vgg_cb4_f32_d128_dr50.h5,1881.445203
4,32,256,0.5,0.912873566,0.273459554,0.854008865,0.889960826,/content/drive/MyDrive/CU/Deep Learning Projects/vgg_top_models/vgg_cb4_f32_d256_dr50.h5,1751.431162
4,32,512,0.5,0.923576891,0.257849485,0.895584357,0.904721419,/content/drive/MyDrive/CU/Deep Learning Projects/vgg_top_models/vgg_cb4_f32_d512_dr50.h5,1882.29619
4,64,64,0.5,0.594977856,0.674998581,0.0,0.0,/content/drive/MyDrive/CU/Deep Learning Projects/vgg_top_models/vgg_cb4_f64_d64_dr50.h5,779.9611311
4,64,128,0.5,0.594977856,0.674995422,0.0,0.0,/content/drive/MyDrive/CU/Deep Learning Projects/vgg_top_models/vgg_cb4_f64_d128_dr50.h5,902.0413551
4,64,256,0.5,0.594977856,0.675011992,0.0,0.0,/content/drive/MyDrive/CU/Deep Learning Projects/vgg_top_models/vgg_cb4_f64_d256_dr50.h5,1023.571255
4,64,512,0.5,0.594977856,0.675004303,0.0,0.0,/content/drive/MyDrive/CU/Deep Learning Projects/vgg_top_models/vgg_cb4_f64_d512_dr50.h5,1147.426621
5,8,64,0.5,0.88419497,0.318079144,0.840991977,0.862651434,/content/drive/MyDrive/CU/Deep Learning Projects/vgg_top_models/vgg_cb5_f8_d64_dr50.h5,2260.956599
5,8,128,0.5,0.897352576,0.270577759,0.854233294,0.873043179,/content/drive/MyDrive/CU/Deep Learning Projects/vgg_top_models/vgg_cb5_f8_d128_dr50.h5,2256.273911
5,8,256,0.5,0.8992841839790344,0.2760595977306366,0.862144420131291,0.8734900378023477,/content/drive/MyDrive/CU/Deep Learning Projects/vgg_top_models/vgg_cb5_f8_d256_dr50.h5,2114.2561638355255
5,8,512,0.5,0.594977855682373,0.675004243850708,0.0,0.0,/content/drive/MyDrive/CU/Deep Learning Projects/vgg_top_models/vgg_cb5_f8_d512_dr50.h5,1017.2349014282227
5,16,64,0.5,0.9074650406837463,0.2877962291240692,0.8936767098692701,0.8856022907342026,/content/drive/MyDrive/CU/Deep Learning Projects/vgg_top_models/vgg_cb5_f16_d64_dr50.h5,2619.8848793506622
5,16,128,0.5,0.9063969850540161,0.28594085574150085,0.8560848342029961,0.882654094235386,/content/drive/MyDrive/CU/Deep Learning Projects/vgg_top_models/vgg_cb5_f16_d128_dr50.h5,1877.8102760314941
5,16,256,0.5,0.9127599000930786,0.25378409028053284,0.8769567412893452,0.8903446311592139,/content/drive/MyDrive/CU/Deep Learning Projects/vgg_top_models/vgg_cb5_f16_d256_dr50.h5,1880.0708134174347
5,16,512,0.5,0.9157368540763855,0.2445247769355774,0.9105650002805364,0.8990139596720585,/content/drive/MyDrive/CU/Deep Learning Projects/vgg_top_models/vgg_cb5_f16_d512_dr50.h5,2018.9690549373627
5,32,64,0.5,0.9171684980392456,0.29315128922462463,0.8780227795545082,0.8982063423733677,/content/drive/MyDrive/CU/Deep Learning Projects/vgg_top_models/vgg_cb5_f32_d64_dr50.h5,1888.048560142517
5,32,128,0.5,0.9269173741340637,0.2105720341205597,0.8757784884699545,0.9022021848448066,/content/drive/MyDrive/CU/Deep Learning Projects/vgg_top_models/vgg_cb5_f32_d128_dr50.h5,2373.463561296463
5,32,256,0.5,0.594977855682373,0.6750085353851318,0.0,0.0,/content/drive/MyDrive/CU/Deep Learning Projects/vgg_top_models/vgg_cb5_f32_d256_dr50.h5,773.2513792514801
5,32,512,0.5,0.9121463298797607,0.2893730103969574,0.8863266565673568,0.9032534736119847,/content/drive/MyDrive/CU/Deep Learning Projects/vgg_top_models/vgg_cb5_f32_d512_dr50.h5,2013.7821214199066
5,64,64,0.5,0.594977855682373,0.6749979257583618,0.0,0.0,/content/drive/MyDrive/CU/Deep Learning Projects/vgg_top_models/vgg_cb5_f64_d64_dr50.h5,784.6119768619537
